iter	Passed	Remaining
0	128	128199
1	138	68883
2	142	47207
3	144	35939
4	153	30489
5	159	26373
6	168	23844
7	172	21435
8	176	19425
9	182	18083
10	186	16777
11	190	15675
12	193	14713
13	200	14117
14	204	13396
15	217	13380
16	224	12972
17	234	12785
18	238	12297
19	242	11875
20	249	11610
21	252	11228
22	255	10869
23	261	10621
24	265	10347
25	268	10062
26	271	9792
27	277	9647
28	281	9433
29	284	9206
30	288	9002
31	295	8949
32	299	8772
33	302	8595
34	305	8433
35	311	8335
36	314	8178
37	317	8030
38	319	7883
39	324	7781
40	328	7680
41	331	7554
42	334	7435
43	336	7320
44	342	7269
45	346	7181
46	349	7086
47	353	7011
48	358	6960
49	361	6871
50	364	6781
51	367	6695
52	372	6658
53	376	6599
54	379	6525
55	382	6449
56	386	6387
57	390	6344
58	393	6278
59	396	6209
60	399	6147
61	404	6113
62	408	6070
63	411	6015
64	414	5964
65	419	5936
66	423	5901
67	427	5856
68	430	5810
69	435	5785
70	439	5753
71	442	5708
72	446	5665
73	453	5676
74	457	5639
75	460	5599
76	464	5568
77	469	5552
78	473	5517
79	476	5481
80	482	5470
81	486	5449
82	490	5414
83	493	5380
84	498	5367
85	502	5339
86	505	5309
87	509	5276
88	514	5265
89	518	5242
90	521	5212
91	525	5182
92	530	5170
93	534	5147
94	537	5118
95	540	5089
96	545	5073
97	549	5055
98	552	5028
99	556	5004
100	560	4987
101	565	4974
102	568	4951
103	572	4930
104	578	4932
105	582	4913
106	586	4891
107	589	4869
108	595	4864
109	598	4843
110	601	4819
111	605	4797
112	610	4789
113	613	4768
114	616	4747
115	620	4725
116	625	4722
117	629	4705
118	632	4684
119	636	4664
120	640	4654
121	644	4641
122	649	4630
123	654	4626
124	659	4613
125	663	4603
126	669	4603
127	677	4615
128	682	4609
129	690	4620
130	698	4631
131	704	4632
132	710	4629
133	713	4612
134	720	4614
135	725	4608
136	728	4591
137	732	4576
138	739	4579
139	744	4571
140	748	4557
141	757	4577
142	763	4577
143	772	4592
144	776	4580
145	783	4583
146	790	4584
147	793	4569
148	797	4556
149	805	4564
150	810	4554
151	818	4565
152	823	4556
153	826	4540
154	832	4539
155	838	4535
156	842	4521
157	849	4525
158	853	4516
159	898	4715
160	913	4761
161	928	4804
162	962	4944
163	975	4974
164	1017	5147
165	1022	5138
166	1033	5152
167	1037	5138
168	1044	5135
169	1050	5129
170	1059	5134
171	1067	5138
172	1081	5167
173	1087	5162
174	1103	5203
175	1113	5214
176	1118	5202
177	1128	5212
178	1133	5200
179	1141	5197
180	1146	5188
181	1150	5172
182	1155	5158
183	1161	5150
184	1166	5137
185	1171	5124
186	1177	5117
187	1180	5100
188	1184	5082
189	1189	5069
190	1195	5062
191	1199	5047
192	1204	5035
193	1209	5025
194	1213	5009
195	1216	4991
196	1222	4982
197	1227	4972
198	1231	4954
199	1234	4937
200	1240	4932
201	1244	4915
202	1247	4898
203	1251	4885
204	1256	4874
205	1260	4858
206	1263	4842
207	1268	4828
208	1272	4817
209	1276	4800
210	1279	4784
211	1284	4774
212	1290	4767
213	1293	4751
214	1296	4735
215	1302	4728
216	1306	4714
217	1309	4698
218	1313	4685
219	1319	4679
220	1323	4666
221	1327	4651
222	1332	4641
223	1337	4633
224	1341	4619
225	1344	4606
226	1350	4598
227	1354	4586
228	1358	4572
229	1365	4570
230	1369	4557
231	1372	4542
232	1375	4527
233	1381	4520
